"PVWatts Hourly PV Performance Data"
"Requested Location","昆明"
"Location","Lat, Lng: 25.05, 102.7"
"Latitude (DD)","25.05"
"Longitude (DD)","102.70"
"Elevation (m)","1922"
"DC System Size (kW)","244.44"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","9","13","827","143","21","3.3","0.2","928.239","38.846","181596.896","174193.342"
"11","9","14","528","247","20.6","3.4","0.2","724.575","34.307","144436.115","138349.316"
"11","9","15","390","224","19.9","3.3","0.2","520.801","29.929","106135.863","101406.194"
"11","9","16","602","99","18.9","3.1","0.2","439.305","27.687","91928.071","87701.841"
"11","9","17","467","52","17.2","2.1","0.2","211.529","22.17","41268.4","38837.243"
"11","9","18","0","0","15.1","1.2","0.2","0","0","0","0"
"11","9","19","0","0","14","1.1","0.2","0","14","0","0"
"11","9","20","0","0","13.3","1.1","0.2","0","13.3","0","0"
"11","9","21","0","0","12.6","1.1","0.2","0","12.6","0","0"
"11","9","22","0","0","11.9","1.1","0.2","0","11.9","0","0"
"11","9","23","0","0","11.2","1.1","0.2","0","11.2","0","0"
"11","10","0","0","0","10.6","1.1","0.2","0","10.6","0","0"
"11","10","1","0","0","10.2","1.1","0.2","0","10.2","0","0"
"11","10","2","0","0","10.1","1","0.2","0","10.1","0","0"
"11","10","3","0","0","10.2","0.9","0.2","0","10.2","0","0"
"11","10","4","0","0","10.3","0.9","0.2","0","10.3","0","0"
"11","10","5","0","0","10.4","0.9","0.2","0","10.4","0","0"
"11","10","6","0","0","10.5","0.9","0.2","0","10.5","0","0"
"11","10","7","70","14","10.5","0.9","0.2","28.486","11.33","4477.934","3350.409"
"11","10","8","501","71","13.6","1.5","0.2","268.726","20.837","54954.529","52038.418"
"11","10","9","774","87","16.2","2","0.2","551.586","29.684","114707.22","109673.834"
"11","10","10","903","85","18.7","2.2","0.2","775.52","36.862","155092.899","148628.488"
"11","10","11","969","81","20.6","2.5","0.2","934.633","41.241","182039.964","174620.711"
"11","10","12","990","80","21.8","2.7","0.2","1008.224","43.257","193918.226","186078.079"
"11","10","13","992","77","22.6","2.8","0.2","999.323","43.5","192145.402","184368.074"
"11","10","14","973","72","22.8","2.8","0.2","906.757","41.787","176578.452","169352.722"
"11","10","15","931","66","22.6","2.8","0.2","742.912","38.194","148287.269","142064.008"
"11","10","16","841","56","21.6","2.4","0.2","515.339","33.271","106168.65","101437.819"
"11","10","17","631","39","18.9","1.6","0.2","247.811","25.346","47508.226","44855.967"
"11","10","18","0","0","16","1.1","0.2","0","0","0","0"
"11","10","19","0","0","14.6","1.2","0.2","0","14.6","0","0"
"11","10","20","0","0","13.8","1.2","0.2","0","13.8","0","0"
"11","10","21","0","0","13.1","1.2","0.2","0","13.1","0","0"
"11","10","22","0","0","12.4","1.2","0.2","0","12.4","0","0"
"11","10","23","0","0","11.9","1.1","0.2","0","11.9","0","0"
"11","11","0","0","0","11.5","1.1","0.2","0","11.5","0","0"
"11","11","1","0","0","11.1","1.1","0.2","0","11.1","0","0"
"11","11","2","0","0","10.7","1","0.2","0","10.7","0","0"
"11","11","3","0","0","10.5","0.9","0.2","0","10.5","0","0"
"11","11","4","0","0","10.2","0.9","0.2","0","10.2","0","0"
"11","11","5","0","0","10","0.9","0.2","0","10","0","0"
"11","11","6","0","0","9.9","0.9","0.2","0","9.9","0","0"
"11","11","7","63","9","9.8","0.8","0.2","20.812","10.417","3165.298","2084.286"
"11","11","8","586","57","13.3","1.8","0.2","284.829","20.478","58216.849","55185.141"
"11","11","9","806","71","16.2","2.7","0.2","551.655","28.016","115591.523","110526.803"
"11","11","10","711","136","18.6","3.3","0.2","693.111","31.962","140974.573","135010.43"
"11","11","11","968","72","20.3","3.6","0.2","921.913","37.238","182563.878","175126.061"
"11","11","12","990","72","21.5","3.8","0.2","997.459","39.266","195059.705","187179.111"
"11","11","13","994","70","22.3","3.9","0.2","991.603","39.706","193689.016","185856.991"
"11","11","14","982","66","22.6","4","0.2","906.135","38.295","179006.52","171694.754"
"11","11","15","943","60","22.4","3.9","0.2","743.557","35.5","150076.004","143789.362"
"11","11","16","861","51","21.3","3.3","0.2","519.582","31.372","107913.854","103121.184"
"11","11","17","658","36","18.5","2.1","0.2","252.84","24.42","48575.757","45885.672"
"11","11","18","0","0","15.3","1.4","0.2","0","0","0","0"
"11","11","19","0","0","13.8","1.4","0.2","0","13.8","0","0"
"11","11","20","0","0","12.8","1.4","0.2","0","12.8","0","0"
"11","11","21","0","0","12","1.4","0.2","0","12","0","0"
"11","11","22","0","0","11.3","1.4","0.2","0","11.3","0","0"
"11","11","23","0","0","10.6","1.4","0.2","0","10.6","0","0"
"11","12","0","0","0","9.9","1.3","0.2","0","9.9","0","0"
"11","12","1","0","0","9.4","1.3","0.2","0","9.4","0","0"
"11","12","2","0","0","8.9","1.3","0.2","0","8.9","0","0"
"11","12","3","0","0","8.6","1.2","0.2","0","8.6","0","0"
"11","12","4","0","0","8.4","1.2","0.2","0","8.4","0","0"
"11","12","5","0","0","8.2","1.1","0.2","0","8.2","0","0"
"11","12","6","0","0","8.1","1.1","0.2","0","8.1","0","0"
"11","12","7","118","10","8.1","1","0.2","31.719","8.982","4785.489","3647.067"
"11","12","8","730","45","11.5","1.9","0.2","322.274","19.445","66080.995","62770.629"
"11","12","9","912","57","14.3","2.9","0.2","592.66","26.564","125115.649","119713.451"
"11","12","10","939","78","16.9","3.6","0.2","791.464","31.472","161760.324","155059.659"
"11","12","11","1034","62","18.9","3.9","0.2","965.78","35.869","192257.754","184476.444"
"11","12","12","1049","64","20.2","3.9","0.2","1040.934","38.472","204124.557","195922.759"
"11","12","13","1046","65","21.1","4","0.2","1031.778","38.953","202060.279","193931.627"
"11","12","14","1020","64","21.4","4","0.2","934.449","37.587","185096.644","177569.081"
"11","12","15","976","59","21.2","3.9","0.2","764.834","34.676","154905.111","148447.353"
"11","12","16","890","51","20","3.3","0.2","534.334","30.358","111484.436","106565.246"
"11","12","17","680","37","16.7","2.1","0.2","260.6","22.801","50394.479","47639.949"
"11","12","18","0","0","13.3","1.5","0.2","0","0","0","0"
"11","12","19","0","0","11.9","1.5","0.2","0","11.9","0","0"
"11","12","20","0","0","11.1","1.4","0.2","0","11.1","0","0"
"11","12","21","0","0","10.4","1.4","0.2","0","10.4","0","0"
"11","12","22","0","0","9.8","1.4","0.2","0","9.8","0","0"
"11","12","23","0","0","9.2","1.4","0.2","0","9.2","0","0"
"11","13","0","0","0","8.7","1.4","0.2","0","8.7","0","0"
"11","13","1","0","0","8.2","1.4","0.2","0","8.2","0","0"
"11","13","2","0","0","7.7","1.3","0.2","0","7.7","0","0"
"11","13","3","0","0","7.3","1.2","0.2","0","7.3","0","0"
"11","13","4","0","0","7","1.2","0.2","0","7","0","0"
"11","13","5","0","0","6.8","1.1","0.2","0","6.8","0","0"
"11","13","6","0","0","6.6","1.1","0.2","0","6.6","0","0"
"11","13","7","55","7","6.5","1.1","0.2","16.957","6.965","2584.923","1524.476"
"11","13","8","568","55","10.6","1.8","0.2","274.709","17.52","56643.799","53667.831"
"11","13","9","684","96","14","2.9","0.2","508.062","24.506","107662.836","102879.061"
"11","13","10","569","188","16.8","3.6","0.2","636.372","28.499","130863.165","125257.309"
"11","13","11","605","235","18.7","3.7","0.2","787.248","32.922","157847.738","151285.712"
"11","13","12","569","276","20.1","3.7","0.2","834.114","35.151","165011.758","158195.882"
"11","13","13","540","284","21","3.7","0.2","811.802","35.648","160298.148","153649.294"
"11","13","14","614","216","21.4","3.8","0.2","761.498","34.96","151765.127","145418.632"
"11","13","15","560","179","21.1","3.7","0.2","601.054","31.99","122204.789","116905.735"
"11","13","16","832","57","20","3.1","0.2","509.831","30.21","106344.83","101607.757"
"11","13","17","482","49","17","2","0.2","212.671","22.092","41347.345","38913.391"
"11","13","18","0","0","13.8","1.4","0.2","0","0","0","0"
"11","13","19","0","0","12.4","1.4","0.2","0","12.4","0","0"
"11","13","20","0","0","11.5","1.3","0.2","0","11.5","0","0"
"11","13","21","0","0","10.8","1.3","0.2","0","10.8","0","0"
"11","13","22","0","0","10.3","1.3","0.2","0","10.3","0","0"
"11","13","23","0","0","9.9","1.2","0.2","0","9.9","0","0"
"11","14","0","0","0","9.4","1.2","0.2","0","9.4","0","0"
"11","14","1","0","0","8.9","1.2","0.2","0","8.9","0","0"
"11","14","2","0","0","8.4","1.2","0.2","0","8.4","0","0"
"11","14","3","0","0","8","1.2","0.2","0","8","0","0"
"11","14","4","0","0","7.8","1.1","0.2","0","7.8","0","0"
"11","14","5","0","0","7.7","1","0.2","0","7.7","0","0"
"11","14","6","0","0","7.5","0.9","0.2","0","7.5","0","0"
"11","14","7","96","9","7.4","0.8","0.2","25.797","8.159","3921.743","2813.927"
"11","14","8","680","49","10.9","1.4","0.2","306.421","19.322","62722.936","59531.559"
"11","14","9","881","62","13.9","2.3","0.2","577.662","27.223","121651.559","116372.107"
"11","14","10","974","66","16.6","3","0.2","800.548","32.832","162909.642","156168.252"
"11","14","11","1019","67","18.4","3.3","0.2","954.736","36.789","189465.372","181783.007"
"11","14","12","1037","67","19.8","3.5","0.2","1029.554","38.997","201584.979","193473.168"
"11","14","13","1030","68","20.7","3.7","0.2","1017.182","39.097","199205.008","191177.529"
"11","14","14","1005","68","21.1","3.8","0.2","923.568","37.575","183028.842","175574.549"
"11","14","15","958","62","20.8","3.8","0.2","753.417","34.272","152884.773","146498.605"
"11","14","16","866","54","19.7","3.2","0.2","523.881","30.022","109440.589","104593.821"
"11","14","17","650","37","16.8","2","0.2","250.94","22.792","48445.224","45759.764"
"11","14","18","0","0","13.8","1.3","0.2","0","0","0","0"
"11","14","19","0","0","12.6","1.3","0.2","0","12.6","0","0"
"11","14","20","0","0","12","1.3","0.2","0","12","0","0"
"11","14","21","0","0","11.5","1.2","0.2","0","11.5","0","0"
"11","14","22","0","0","11.1","1.2","0.2","0","11.1","0","0"
"11","14","23","0","0","10.6","1.2","0.2","0","10.6","0","0"
"11","15","0","0","0","10.1","1.2","0.2","0","10.1","0","0"
"11","15","1","0","0","9.6","1.2","0.2","0","9.6","0","0"
"11","15","2","0","0","9.2","1.1","0.2","0","9.2","0","0"
"11","15","3","0","0","8.9","1.1","0.2","0","8.9","0","0"
"11","15","4","0","0","8.5","1.1","0.2","0","8.5","0","0"
"11","15","5","0","0","8.2","1.1","0.2","0","8.2","0","0"
"11","15","6","0","0","8","1","0.2","0","8","0","0"
"11","15","7","70","8","8","1","0.2","21.299","8.6","3269.631","2184.922"
"11","15","8","610","55","11.8","1.8","0.2","288.244","19.056","59016.957","55956.898"
"11","15","9","831","70","14.8","3","0.2","559.61","26.185","118243.839","113085.136"
"11","15","10","941","73","17.2","3.6","0.2","782.28","31.606","159961.519","153324.593"
"11","15","11","997","70","19","3.8","0.2","937.375","35.716","186876.697","179286.06"
"11","15","12","1017","70","20.4","4.1","0.2","1012.802","37.676","199428.214","191392.826"
"11","15","13","1014","68","21.4","4.3","0.2","1000.992","38.005","196978.614","189030.025"
"11","15","14","995","64","21.7","4.4","0.2","909.293","36.596","180988.379","173606.388"
"11","15","15","947","60","21.5","4.4","0.2","742.391","33.691","151034.557","144713.948"
"11","15","16","855","51","20.3","3.8","0.2","514.109","29.528","107614.497","102832.434"
"11","15","17","642","36","17.4","2.5","0.2","247.302","22.762","47696.482","45037.553"
"11","15","18","0","0","14.3","1.7","0.2","0","0","0","0"
"11","15","19","0","0","12.9","1.6","0.2","0","12.9","0","0"
"11","15","20","0","0","12.2","1.5","0.2","0","12.2","0","0"
"11","15","21","0","0","11.5","1.4","0.2","0","11.5","0","0"
"11","15","22","0","0","11","1.4","0.2","0","11","0","0"
"11","15","23","0","0","10.6","1.4","0.2","0","10.6","0","0"
"11","16","0","0","0","10.1","1.5","0.2","0","10.1","0","0"
"11","16","1","0","0","9.6","1.5","0.2","0","9.6","0","0"
"11","16","2","0","0","9.3","1.5","0.2","0","9.3","0","0"
"11","16","3","0","0","9.3","1.5","0.2","0","9.3","0","0"
"11","16","4","0","0","9.6","1.5","0.2","0","9.6","0","0"
"11","16","5","0","0","9.8","1.6","0.2","0","9.8","0","0"
"11","16","6","0","0","9.9","1.6","0.2","0","9.9","0","0"
"11","16","7","53","8","9.9","1.6","0.2","17.371","10.327","2662.45","1599.255"
"11","16","8","568","56","13.1","3.4","0.2","273.413","18.246","56062.424","53107.056"
"11","16","9","795","70","15.6","4.4","0.2","537.757","24.454","114349.412","109328.704"
"11","16","10","906","71","18.1","4.9","0.2","752.47","29.661","155084.606","148620.489"
"11","16","11","956","70","20.2","5.3","0.2","900.435","33.335","181311.771","173918.321"
"11","16","12","971","73","21.4","5.5","0.2","972.387","35.235","193466.021","185641.898"
"11","16","13","966","73","22","5.7","0.2","961.539","35.366","191317.416","183569.426"
"11","16","14","943","72","22.2","5.8","0.2","873.606","34.218","175567.766","168377.849"
"11","16","15","897","66","22","5.8","0.2","712.989","31.833","146093.3","139947.78"
"11","16","16","803","57","21","5.3","0.2","495.784","28.279","104189.088","99528.401"
"11","16","17","582","38","18.8","4.1","0.2","230.674","22.667","44480.763","41935.78"
"11","16","18","0","0","16.5","3.4","0.2","0","0","0","0"
"11","16","19","0","0","15.5","3.4","0.2","0","15.5","0","0"
"11","16","20","0","0","14.9","3.5","0.2","0","14.9","0","0"
"11","16","21","0","0","14.4","3.5","0.2","0","14.4","0","0"
"11","16","22","0","0","13.8","3.3","0.2","0","13.8","0","0"
"11","16","23","0","0","13.2","3","0.2","0","13.2","0","0"
"11","17","0","0","0","12.5","2.7","0.2","0","12.5","0","0"
"11","17","1","0","0","11.9","2.5","0.2","0","11.9","0","0"
"11","17","2","0","0","11.3","2.4","0.2","0","11.3","0","0"
"11","17","3","0","0","10.9","2.4","0.2","0","10.9","0","0"
